# (c) 2022, Ling Uaan
#
# pi(x) is the number of primes not larger than x. Computed with primecount
# li(x) is the principal value of the integral of 1/log between 0 and x. Computed with: primecount
# NdM is the exponential notation for the number N*10^M
#
# Last update made on Wednesday, April 07, 2022  at  04:10 PM
#
          x              pi(x)                  li(x)
----------- ------------------ -------------------------
       1d23  1925320391606803968923  1925320391614054155137
       2d23  3799909692561409118056  3799909692567740836380
       3d23  5656273632246727014194  5656273632255176704963
       4d23  7500996960833856114524  7500996960847337622974
       5d23  9337160048750070138549  9337160048763942061027
       6d23 11166558614784619208099 11166558614803311388479
       7d23 12990369865382813682260 12990369865394547364440
       8d23 14809424585884919104311 14809425113767875796326
       9d23 16624342554310557039437 16624342554330444360379
      10d23 18435599767349200867866 18435599767366347775143
      11d23 20243575315296291099053 20243576688958423872361
      12d23 22048582699960771423401 22048582699976678291603
      13d23 23850874550799627450585 23850874550814066521958
      14d23 25650668694490822599334 25650668694519212159863
      15d23 27448150050273123422147 27448150050300925583998
      16d23 29243478401132104628736 29243478401156070838527
      17d23 31036793173055799037016 31036793173087178658884
      18d23 32828217076875786645518 32828217076893372229590
      19d23 34617858931634467192029 34617858931655356103755
      20d23 36405815887319744845222 36405815887341013099492
